#Шифр галузі	 Галузь знань	                          Код спеціальності	Найменування спеціальності
01	         Освіта та педагогіка	                   015.10	            Професійна освіта (комп’ютерні технології)
10	         Природничі науки	                       101	                Екологія
10	         Природничі науки		                  103	                Науки про Землю
13	         Механічна інженерія	                    133	                Галузеве машинобудування
14	         Електрична інженерія	                   141	                Електроенергетика, електротехніка та електромеханіка
14	         Електрична інженерія		              144	                Теплоенергетика
14	         Електрична інженерія		              145	                Гідроенергетика
15	         Автоматизація та приладобудування	 151	                Автоматизація та комп’ютерно-інтегровані технології
18	         Виробництво та технології	              183	                Технології захисту навколишнього середовища
18	         Виробництво та технології		         184	                Гірництво
19	         Архітектура та будівництво	             192	                Будівництво та цивільна інженерія
19	         Архітектура та будівництво			       193	                Геодезія та землеустрій
19	         Архітектура та будівництво			       194	                Гідротехнічне будівництво, водна інженерія та водні технології
*20	         Аграрні науки та продовольство	         201	                Агрономія
*20	         Аграрні науки та продовольство		        207	                Водні біоресурси та аквакультура
*20	         Аграрні науки та продовольство	 208	                Агроінженерія
26	         Цивільна безпека	 263	                Цивільна безпека
27	         Транспорт	 274	                Автомобільний транспорт
27	         Транспорт	 275	                Транспортні технології (автомобільний транспорт)
