Код,Спеціальність,(спеціалізація),Конкурсні пропозиції,,,К1,К2,К3,Прохідний бал,ГК,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
15.1,Професійна освіта,(Комп`ютерні технології),1. Українська мова та література ,2. Математика ,3.Фізика або іноземна мова,"0,35","0,35","0,2","118,346","1,02 або 1.00",0,15.1,Професійна освіта,(Комп`ютерні технології),1. Українська мова та література ,2. Математика ,3.Фізика або іноземна мова,"0,35","0,35","0,2",118346,"1,02 або 1.00",,,
,(Комп`ютерні технології),,2. Математика ,0,0,0,0,0,,,1,29,"Інформаційна, бібліотечна та архівна справа",0,1. Українська мова та література ,2. Історія України ,3. Математика або іноземна мова,"0,4","0,25","0,25",169897,"1,00",,,
,,,3.Фізика або іноземна мова,0,0,0,0,0,,,2,31,Релігієзнавство,0,1. Українська мова та література ,2. Історія України,3. Математика або іноземна мова,"0,4","0,3","0,2","174,7","1,00",,,
29,"Інформаційна, бібліотечна та архівна справа",,1. Українська мова та література ,2. Історія України ,3. Математика або іноземна мова,"0,4","0,25","0,25","169,897","1,00",3,51,Економіка,(Бізнес аналітика та управління персоналом і економіка праці),1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3","181,4","1,00",,,
,,,2. Історія України ,0,0,0,0,0,,,4,51,Економіка,(Економічна кібернетика),1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3","181,4","1,00",,,
,,,3. Математика або іноземна мова,0,0,0,0,0,,,5,53,Психологія,0,1. Українська мова та література ,2. Математика ,3. Іноземна мова або біологія,"0,3","0,3","0,3","167,8","1,00",,,
31,Релігієзнавство,,1. Українська мова та література ,2. Історія України,3. Математика або іноземна мова,"0,4","0,3","0,2","174,7","1,00",6,61,Журналістика,0,1. Українська мова та література ,2. Історія України,3. Математика або іноземна мова,"0,4","0,3","0,2",186252,"1,00",,,
,,,2. Історія України,0,0,0,0,0,,,7,71,Облік і оподаткування ,0,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",169728,"1,00",,,
,,,3. Математика або іноземна мова,0,0,0,0,0,,,8,72,"Фінанси, банківська справа та страхування ",0,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",172788,"1,00",,,
51,Економіка,(Бізнес аналітика та управління персоналом і економіка праці),1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3","181,4","1,00",9,73,Менеджмент,0,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",176358,"1,00",,,
,(Бізнес аналітика та управління персоналом і економіка праці),,2. Математика ,0,0,0,0,0,,,10,75,Маркетинг ,0,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",177888,"1,00",,,
,,,3. Іноземна мова або географія,0,0,0,0,0,,,11,76,"Підприємництво, торгівля та біржова діяльність ",0,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",172,"1,00",,,
